id,en,pt_BR
TEST,Test,Teste
PLAYERS,Players,Jogadores
BALL,Ball,Bola
CONTINUE,Continue,Continuar
RESTART,Restart match,Reiniciar partida
QUIT,Quit to Menu,Sair para o menu
PAUSE,Paused,Pausado
NEW_GAME,New Game,Novo Jogo
FOUL,Foul,Falta
SETTINGS,Settings,Configurações
MY_TEAM,My Team,Meu Time
GOAL,Goooaal,Goool
BEGIN,And the game begins,Apita o árbitro
TURN_OF,Turn of,Turno de
KEEP_GOING,Keep Going,Segue o Jogo
LAST_SHOT, KICK IT,CHUTA
SHOTS, Shots, Lances
NEXT, Next, Próximo
CHAMPION, Champion, Campeão
GOLDEN_GOAL, Golden Goal, Gol de Ouro
TIME, Remaining Time, Tempo restante
RANK, Rank, Ranque
EQUIP, Equip, Equipar
SLOTS, Slots, Espaços
STRENGTH, Strength, Força
CUPS, CUPS, TORNEIOS
ENTER, ENTER, ENTRAR
REQUISITES, Requisistes, Requisitos
LOCKED, LOCKED, BLOQUEADO
AP, AP, PA
SHOT, SHOT, LANCE
PLAYER, Player, Jogador
OPPONENT, Opponent, Adversário
FIRST, 1ˢᵗ, °
SECOND, 2ⁿᵈ, °
THIRD, 3ʳᵈ, °
BLOOMER _CUP, Bloomer Cup, Copa Florescente
CITADINO_CUP, Citadino Cup, Copa Citadino
STATE_CUP, State Cup, Copa Estadual
NATIONS_CUP, Nation Cup, Copa da Nação
CHAMPIONS_CUP, Champions Cup, Copa dos Campeões
MINOWS_LEAGUE, Minows League, Liga dos Menores
SUPER_LEAGUE, Super League, Super Liga
